area,item,year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
18,5,2005,1604.0,829.59,25.36
42,6,1992,1083.0,70791.0,25.91
8,0,1997,1292.0,484.59,25.81
73,3,1997,494.0,16936.0,23.76
2,7,2005,1010.0,40.0,24.41
42,4,2005,1083.0,35342.0,26.83
0,6,2002,1485.0,691.75,16.47
5,6,2010,534.0,42169.39,20.33
69,8,2000,1732.0,3634.3,13.4
100,5,1998,657.0,2883.0,21.3
85,1,1997,636.0,34023.0,17.81
5,4,2008,534.0,42935.38,16.7
59,3,2007,282.0,7.72,27.94
73,5,1995,494.0,7681.0,22.61
42,4,1991,1083.0,72133.0,25.06
44,1,2005,216.0,873.01,19.96
42,4,2011,1083.0,55540.0,27.41
78,8,2012,74.0,68.0,28.54
5,3,2001,534.0,32710.0,18.39
42,4,2011,1083.0,55540.0,25.63
88,7,2002,2331.0,986.25,27.14
25,1,2007,1410.0,5689.8,27.08
17,7,1992,1274.0,92.08,21.31
64,6,1994,346.0,10992.57,17.88
85,6,2007,636.0,39286.0,11.89
22,4,2008,3240.0,48538.97,27.16
40,5,1993,1976.0,6768.0,24.58
41,8,2012,589.0,8141.17,11.31
14,6,2008,1761.0,119166.69999999998,26.94
5,7,1991,534.0,17866.0,18.73
73,8,1990,494.0,5299.0,26.39
58,4,2005,2875.0,39406.48,27.59
62,5,1998,758.0,34468.93,17.07
94,8,1997,593.0,34431.0,10.13
14,9,2009,1761.0,119166.69999999998,27.39
90,3,2008,1537.0,2011.47,7.98
14,0,2008,1761.0,119166.69999999998,20.22
6,5,2012,1110.0,3563.3,9.42
15,8,1992,608.0,3906.0,9.07
42,5,2000,1083.0,44957.52,26.49
61,0,2007,2041.0,644.12,24.28
42,4,2004,1083.0,35113.0,25.98
42,6,1998,1083.0,49157.0,25.55
14,9,1992,1761.0,67003.89,24.97
3,4,2013,591.0,119166.69999999998,16.45
86,7,1999,1712.0,1766.91,26.32
42,8,1998,1083.0,49157.0,26.01
42,8,2001,1083.0,43720.04,26.91
43,0,1997,2702.0,1597.0,27.37
34,0,2011,1187.0,378.97,27.11
42,3,2007,1083.0,27422.77,25.66
42,4,1991,1083.0,72133.0,25.74
57,8,1992,1181.0,173.19,20.89
75,1,1995,1738.0,3134.0,17.26
91,6,2007,691.0,247.9,8.69
42,0,2001,1083.0,43720.04,26.91
16,0,1997,748.0,75.29,28.52
43,6,1995,2702.0,1597.0,25.46
14,0,1991,1761.0,58349.44,27.34
73,1,2009,494.0,3957.61,19.3
28,2,1995,1784.0,3475.08,26.05
19,3,1995,537.0,32223.4,6.38
94,4,2010,593.0,38554.69,13.27
14,1,1997,1761.0,110276.11,18.36
27,6,1994,51.0,4283.0,22.02
14,9,1991,1761.0,58349.44,19.11
14,6,2009,1761.0,119166.69999999998,24.98
64,6,2010,346.0,13697.0,18.83
42,0,2012,1083.0,52980.0,26.89
40,2,1993,1976.0,6768.0,24.58
61,0,2005,2041.0,698.23,24.16
85,3,2005,636.0,41017.0,12.26
5,1,1999,534.0,34200.0,12.1
26,4,2001,2274.0,7344.0,17.39
95,6,2005,1180.0,88.0,24.29
42,3,1995,1083.0,61257.0,24.04
14,4,1990,1761.0,49695.0,18.47
85,5,1993,636.0,29408.0,16.4
26,6,2006,2274.0,7953.42,17.6
46,3,1997,832.0,84799.0,13.13
73,5,1992,494.0,5518.0,24.31
32,3,2012,867.0,63547.59,11.22
71,0,2013,151.0,21.37,30.42
15,6,1994,608.0,3648.5,10.23
14,0,2005,1761.0,119166.69999999998,18.53
48,8,2007,1668.0,61164.07,16.03
42,7,1991,1083.0,72133.0,25.4
46,8,1994,832.0,81217.6,13.53
48,9,1998,1668.0,79821.18,13.74
65,0,1992,1032.0,102.26,22.6
94,8,2012,593.0,42610.59,19.92
64,8,2011,346.0,13697.0,18.53
42,1,2001,1083.0,43720.04,24.5
62,3,1998,758.0,34468.93,21.38
48,4,1996,1668.0,79821.18,14.8
53,3,1990,788.0,0.3,14.48
94,3,2010,593.0,38554.69,19.27
84,6,2002,495.0,26857.0,19.28
41,1,2007,589.0,11178.0,11.82
84,3,1993,495.0,16582.0,21.32
76,1,2012,600.0,21885.99,8.48
14,5,2004,1761.0,119166.69999999998,27.24
42,8,2009,1083.0,28707.01,25.99
42,7,2002,1083.0,42482.56,27.35
73,5,1997,494.0,16936.0,22.14
42,0,2000,1083.0,44957.52,25.93
43,7,1994,2702.0,1597.0,27.18
48,9,2009,1668.0,60970.8,15.67
42,0,1995,1083.0,61257.0,27.03
5,1,2004,534.0,36276.0,12.35
48,1,2012,1668.0,54716.4,15.54
37,0,1998,1651.0,181.35,27.63
16,0,1992,748.0,29.1,28.06
10,3,2005,2666.0,7605.01,26.19
49,6,2013,250.0,8738.38,5.49
14,5,1992,1761.0,67003.89,20.21
14,3,2005,1761.0,119166.69999999998,18.53
26,5,2006,2274.0,7953.42,22.31
10,3,1990,2666.0,1266.0,25.98
42,7,2001,1083.0,43720.04,26.91
21,4,1993,1522.0,15373.0,13.26
62,4,2005,758.0,51741.99,22.95
33,6,1998,700.0,33377.0,9.31
32,3,1997,867.0,109792.0,11.59
43,6,1997,2702.0,1597.0,27.62
21,8,1998,1522.0,15373.0,13.19
44,3,1993,216.0,692.0,22.86
33,3,1990,700.0,31289.0,10.08
43,6,1990,2702.0,2432.0,27.47
33,1,1996,700.0,31683.0,4.49
67,1,1996,1500.0,70.43,15.37
73,8,2008,494.0,4946.79,19.34
33,8,1996,700.0,31683.0,7.88
19,8,2009,537.0,54529.4,6.28
59,7,2010,282.0,3.84,28.18
62,6,2007,758.0,64501.28,19.7
68,3,2005,778.0,10703.85,10.48
42,3,1993,1083.0,66388.0,24.34
14,6,1991,1761.0,58349.44,25.57
42,5,2009,1083.0,28707.01,26.55
72,8,2005,1414.0,518.94,4.26
14,0,1999,1761.0,119166.69999999998,21.59
20,9,1996,1342.0,22.87,25.32
35,4,1995,652.0,6663.0,17.82
43,1,2002,2702.0,1597.0,27.4
42,6,1999,1083.0,46195.0,26.96
81,3,1995,59.0,994.0,25.64
40,4,2007,1976.0,5283.93,24.55
3,8,1991,591.0,26156.0,17.86
88,4,1991,2331.0,207.0,26.93
100,6,1994,657.0,1664.0,20.64
33,3,1991,700.0,32006.0,4.93
66,8,1991,285.0,39.0,19.92
56,4,2006,1513.0,109.39,20.09
42,6,2004,1083.0,35113.0,25.98
62,1,2004,758.0,26433.14,19.91
38,9,1999,2387.0,289.9,27.16
0,1,1994,1485.0,201.0,16.96
50,6,1999,630.0,3056.0,16.7
42,1,2007,1083.0,27422.77,26.15
17,4,1994,1274.0,84.45,21.25
64,3,2004,346.0,15064.0,18.07
74,4,2000,3142.0,105.0,25.4
56,5,1997,1513.0,139.89,19.97
77,9,2013,854.0,10126.8,16.77
86,5,2012,1712.0,1112.8,26.88
34,9,2006,1187.0,771.58,27.1
50,3,2008,630.0,1578.0,16.66
14,7,2006,1761.0,119166.69999999998,27.34
94,4,1993,593.0,28042.0,18.82
73,7,2000,494.0,27885.0,26.71
99,5,1999,1020.0,1670.0,20.53
42,4,2011,1083.0,55540.0,26.0
77,3,1991,854.0,9357.0,16.09
28,1,1996,1784.0,3319.85,25.77
5,3,2001,534.0,32710.0,16.63
40,5,2001,1976.0,1141.0,24.4
78,1,1997,74.0,21.5,27.23
85,3,1996,636.0,33236.0,16.72
42,7,2006,1083.0,37423.0,26.28
62,8,2011,758.0,65961.1,21.55
27,6,2002,51.0,5147.0,22.41
16,7,1997,748.0,75.29,28.52
36,0,2000,1996.0,9665.14,19.47
94,6,2001,593.0,25539.0,13.16
92,0,2011,1622.0,87191.0,27.56
73,8,1995,494.0,7681.0,18.68
42,1,1999,1083.0,46195.0,25.1
85,1,2005,636.0,41017.0,12.26
41,8,2010,589.0,10299.5,10.35
42,8,2011,1083.0,55540.0,25.16
25,7,2002,1410.0,4018.07,27.08
