unnamed:_0,area,item,year,yield_hg_ha,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,0,1,1990,36613,1485.0,121.0,16.37
1,0,3,1990,66667,1485.0,121.0,16.37
2,0,4,1990,23333,1485.0,121.0,16.37
3,0,5,1990,12500,1485.0,121.0,16.37
4,0,6,1990,7000,1485.0,121.0,16.37
5,0,8,1990,30197,1485.0,121.0,16.37
6,0,1,1991,29068,1485.0,121.0,15.36
7,0,3,1991,77818,1485.0,121.0,15.36
8,0,4,1991,28538,1485.0,121.0,15.36
9,0,5,1991,6667,1485.0,121.0,15.36
10,0,6,1991,6066,1485.0,121.0,15.36
11,0,8,1991,20698,1485.0,121.0,15.36
12,0,1,1992,24876,1485.0,121.0,16.06
13,0,3,1992,82920,1485.0,121.0,16.06
14,0,4,1992,40000,1485.0,121.0,16.06
15,0,5,1992,3747,1485.0,121.0,16.06
16,0,6,1992,4507,1485.0,121.0,16.06
17,0,8,1992,24388,1485.0,121.0,16.06
18,0,1,1993,24185,1485.0,121.0,16.05
19,0,3,1993,98446,1485.0,121.0,16.05
20,0,4,1993,41786,1485.0,121.0,16.05
21,0,6,1993,7998,1485.0,121.0,16.05
22,0,8,1993,29976,1485.0,121.0,16.05
23,0,1,1994,25848,1485.0,201.0,16.96
24,0,3,1994,81404,1485.0,201.0,16.96
25,0,6,1994,7927,1485.0,201.0,16.96
26,0,8,1994,24745,1485.0,201.0,16.96
27,0,1,1995,31300,1485.0,251.0,15.67
28,0,3,1995,111323,1485.0,251.0,15.67
29,0,6,1995,11791,1485.0,251.0,15.67
30,0,8,1995,28703,1485.0,251.0,15.67
31,0,1,1996,32604,1485.0,313.96,15.64
32,0,3,1996,106138,1485.0,313.96,15.64
33,0,6,1996,15480,1485.0,313.96,15.64
34,0,8,1996,21741,1485.0,313.96,15.64
35,0,1,1997,31862,1485.0,376.93,15.9
36,0,3,1997,109874,1485.0,376.93,15.9
37,0,6,1997,12768,1485.0,376.93,15.9
38,0,8,1997,28516,1485.0,376.93,15.9
39,0,1,1998,33416,1485.0,439.89,16.27
40,0,3,1998,127212,1485.0,439.89,16.27
41,0,6,1998,14327,1485.0,439.89,16.27
42,0,8,1998,28037,1485.0,439.89,16.27
43,0,1,1999,37455,1485.0,502.86,16.57
44,0,3,1999,142018,1485.0,502.86,16.57
45,0,6,1999,17143,1485.0,502.86,16.57
46,0,8,1999,24954,1485.0,502.86,16.57
47,0,1,2000,38811,1485.0,565.82,16.67
48,0,3,2000,141228,1485.0,565.82,16.67
49,0,6,2000,15000,1485.0,565.82,16.67
50,0,8,2000,30455,1485.0,565.82,16.67
51,0,1,2001,38135,1485.0,628.79,16.59
52,0,3,2001,148818,1485.0,628.79,16.59
53,0,6,2001,20000,1485.0,628.79,16.59
54,0,8,2001,28220,1485.0,628.79,16.59
55,0,1,2002,39460,1485.0,691.75,16.47
56,0,3,2002,153868,1485.0,691.75,16.47
57,0,6,2002,20000,1485.0,691.75,16.47
58,0,8,2002,31617,1485.0,691.75,16.47
59,0,1,2004,46197,1485.0,817.68,16.16
60,0,3,2004,149346,1485.0,817.68,16.16
61,0,6,2004,13333,1485.0,817.68,16.16
62,0,8,2004,31130,1485.0,817.68,16.16
63,0,1,2005,45442,1485.0,880.64,15.67
64,0,3,2005,167061,1485.0,880.64,15.67
65,0,6,2005,17500,1485.0,880.64,15.67
66,0,8,2005,31582,1485.0,880.64,15.67
67,0,1,2006,50111,1485.0,943.61,15.92
68,0,3,2006,170745,1485.0,943.61,15.92
69,0,6,2006,20000,1485.0,943.61,15.92
70,0,8,2006,30787,1485.0,943.61,15.92
71,0,1,2007,46732,1485.0,1006.57,16.67
72,0,3,2007,188902,1485.0,1006.57,16.67
73,0,6,2007,20000,1485.0,1006.57,16.67
74,0,8,2007,35496,1485.0,1006.57,16.67
75,0,1,2008,50000,1485.0,1069.54,16.71
76,0,3,2008,193878,1485.0,1069.54,16.71
77,0,6,2008,20000,1485.0,1069.54,16.71
78,0,8,2008,40168,1485.0,1069.54,16.71
79,0,1,2009,55693,1485.0,1132.5,16.73
80,0,3,2009,219780,1485.0,1132.5,16.73
81,0,6,2009,16667,1485.0,1132.5,16.73
82,0,8,2009,40229,1485.0,1132.5,16.73
83,0,1,2010,66790,1485.0,1311.17,16.52
84,0,3,2010,231111,1485.0,1311.17,16.52
85,0,6,2010,16667,1485.0,1311.17,16.52
86,0,8,2010,39905,1485.0,1311.17,16.52
87,0,1,2011,59869,1485.0,1302.63,16.45
88,0,3,2011,242211,1485.0,1302.63,16.45
89,0,6,2011,18519,1485.0,1302.63,16.45
90,0,8,2011,42301,1485.0,1302.63,16.45
91,0,1,2012,67290,1485.0,766.25,16.7
92,0,3,2012,250538,1485.0,766.25,16.7
93,0,6,2012,13333,1485.0,766.25,16.7
94,0,8,2012,41096,1485.0,766.25,16.7
95,0,1,2013,69533,1485.0,982.32,17.41
96,0,3,2013,260110,1485.0,982.32,17.41
97,0,6,2013,10000,1485.0,982.32,17.41
98,0,8,2013,41292,1485.0,982.32,17.41
99,1,1,1990,16500,89.0,1828.92,17.48
100,1,3,1990,78936,89.0,1828.92,17.48
101,1,4,1990,28000,89.0,1828.92,17.48
102,1,5,1990,16571,89.0,1828.92,17.48
103,1,8,1990,6315,89.0,1828.92,17.48
104,1,1,1991,19231,89.0,2461.8,16.26
105,1,3,1991,90747,89.0,2461.8,16.26
106,1,4,1991,26786,89.0,2461.8,16.26
107,1,5,1991,24231,89.0,2461.8,16.26
108,1,8,1991,10809,89.0,2461.8,16.26
109,1,1,1992,22828,89.0,1215.47,16.27
110,1,3,1992,107917,89.0,1215.47,16.27
111,1,4,1992,24733,89.0,1215.47,16.27
112,1,5,1992,40000,89.0,1215.47,16.27
113,1,8,1992,9939,89.0,1215.47,16.27
114,1,1,1993,12500,89.0,1021.89,17.0
115,1,3,1993,111215,89.0,1021.89,17.0
116,1,4,1993,23111,89.0,1021.89,17.0
117,1,5,1993,50000,89.0,1021.89,17.0
118,1,8,1993,8097,89.0,1021.89,17.0
119,1,1,1994,4512,89.0,1255.02,17.88
120,1,3,1994,95078,89.0,1255.02,17.88
121,1,4,1994,21374,89.0,1255.02,17.88
122,1,8,1994,7999,89.0,1255.02,17.88
123,1,1,1995,16115,89.0,2697.09,17.36
124,1,3,1995,136768,89.0,2697.09,17.36
125,1,4,1995,19598,89.0,2697.09,17.36
126,1,5,1995,12667,89.0,2697.09,17.36
127,1,8,1995,8924,89.0,2697.09,17.36
128,1,1,1996,17154,89.0,479.77,16.76
129,1,3,1996,134629,89.0,479.77,16.76
130,1,4,1996,17861,89.0,479.77,16.76
131,1,5,1996,14750,89.0,479.77,16.76
132,1,8,1996,13090,89.0,479.77,16.76
133,1,1,1997,21417,89.0,401.22,17.84
134,1,3,1997,141042,89.0,401.22,17.84
135,1,4,1997,15000,89.0,401.22,17.84
136,1,5,1997,40000,89.0,401.22,17.84
137,1,8,1997,8016,89.0,401.22,17.84
138,1,1,1998,17222,89.0,322.84,17.14
139,1,3,1998,160256,89.0,322.84,17.14
140,1,4,1998,15000,89.0,322.84,17.14
141,1,5,1998,24500,89.0,322.84,17.14
142,1,8,1998,8847,89.0,322.84,17.14
143,1,1,1999,22375,89.0,654.45,17.97
144,1,3,1999,153532,89.0,654.45,17.97
145,1,4,1999,13942,89.0,654.45,17.97
146,1,5,1999,27000,89.0,654.45,17.97
147,1,8,1999,10711,89.0,654.45,17.97
148,1,1,2000,36186,89.0,603.67,17.9
149,1,3,2000,166143,89.0,603.67,17.9
150,1,4,2000,13052,89.0,603.67,17.9
151,1,5,2000,69500,89.0,603.67,17.9
152,1,8,2000,9194,89.0,603.67,17.9
153,1,1,2001,27175,89.0,710.11,18.13
154,1,3,2001,147018,89.0,710.11,18.13
155,1,4,2001,12314,89.0,710.11,18.13
156,1,5,2001,27750,89.0,710.11,18.13
157,1,8,2001,11104,89.0,710.11,18.13
158,1,1,2002,33480,89.0,816.55,17.85
159,1,3,2002,183774,89.0,816.55,17.85
160,1,4,2002,12959,89.0,816.55,17.85
161,1,5,2002,33900,89.0,816.55,17.85
